1448471400000,de,500K,1,adsit,1,android,1
1448472000000,de,PushAwardsKathNiels,13,android,3,androidgames,3
1448472600000,de,PushAwardsKathNiels,30,MTVStars,3,android,2
1448473200000,de,PushAwardsKathNiels,14,android,2,androidgames,2
1448473800000,de,PushAwardsKathNiels,18,android,2,androidgames,2
1448474400000,de,android,4,androidgames,4,gameinsight,4
1448475000000,de,PushAwardsKathNiels,14,android,3,androidgames,3
1448475600000,de,PushAwardsKathNiels,34,androidgames,2,DieNachrichten,2
1448476200000,de,CSKAWOB,8,PushAwardsKathNiels,8,android,7
1448476800000,de,PushAwardsKathNiels,8,mufc,3,gameinsight,2
1448477400000,de,mufc,41,PushAwardsKathNiels,13,MUFC,8
1448478000000,de,PushAwardsKathNiels,17,mufc,14,Push,3
1448478600000,de,PushAwardsKathNiels,24,mufc,6,gameinsight,4
1448479200000,de,PushAwardsKathNiels,14,android,3,androidgames,3
1448479800000,de,PushAwardsKathNiels,9,gameinsight,5,android,3
1448480400000,de,PushAwardsKathNiels,13,PushAwardsK,6,ALDUB19thWeeksary,4
1448481000000,de,PushAwardsKathNiels,13,BMGSEV,4,BMGvSEV,3
1448481600000,de,PushAwardsKathNiels,8,android,5,androidgames,5
1448482200000,de,gameinsight,5,PushAwardsKathNiels,4,BMGSEV,3
1448482800000,de,MTVStars,4,BMGSEV,3,PushAwardsKathNiels,3
1448483400000,de,PushAwardsKathNiels,52,PushAwards,4,PushA,3
1448484000000,de,PushAwardsKathNiels,16,gameinsight,5,android,3
1448484600000,de,PushAwardsKathNiels,23,gameinsight,3,ipad,2
1448485200000,de,PushAwardsKathNiels,4,android,3,androidgames,3
1448485800000,de,PushAwardsKathNiels,10,android,4,androidgames,4
1448486400000,de,PushAwardsKathNiels,8,androidgames,5,gameinsight,5
1448487000000,de,PushAwardsKathNiels,20,UCL,6,android,4
1448487600000,de,PushAwardsKathNiels,8,UCL,4,MTVStars,3
